1,1,Where Is Everybody?,Robert Stevens,Rod Serling,Bernard Herrmann,October 2 1959,173-3601
2,2,One for the Angels,Robert Parrish,Rod Serling,N/A,October 9 1959,173-3608
3,3,Mr. Denton on Doomsday,Allen Reisner,Rod Serling,N/A,October 16 1959,173-3609
4,4,The Sixteen-Millimeter Shrine,Mitchell Leisen,Rod Serling,Franz Waxman,October 23 1959,173-3610
5,5,Walking Distance,Robert Stevens,Rod Serling,Bernard Herrmann,October 30 1959,173-3605
6,6,Escape Clause,Mitchell Leisen,Rod Serling,N/A,November 6 1959,173-3603
7,7,The Lonely,Jack Smight,Rod Serling,Bernard Herrmann,November 13 1959,173-3602
8,8,Time Enough at Last,John Brahm,Based on a short story by?: Lynn Venable,Leith Stevens,November 20 1959,173-3614
,,,,Teleplay by?: Rod Serling,,,
9,9,Perchance to Dream,Robert Florey,Charles Beaumont,Van Cleave,November 27 1959,173-3616
10,10,Judgment Night,John Brahm,Rod Serling,N/A,December 4 1959,173-3604
11,11,And When the Sky Was Opened,Douglas Heyes,Based on a short story by?: Richard Matheson,Leonard Rosenman,December 11 1959,173-3611
,,,,Teleplay by?: Rod Serling,,,
12,12,What You Need,Alvin Ganzer,Based on a short story by?: Lewis Padgett,Van Cleave,December 25 1959,173-3622
,,,,Teleplay by?: Rod Serling,,,
13,13,The Four of Us Are Dying,John Brahm,Based on a short story by?: George Clayton Johnson,Jerry Goldsmith,January 1 1960,173-3618
,,,,Teleplay by?: Rod Serling,,,
14,14,Third from the Sun,Richard L. Bare,Based on a short story by?: Richard Matheson,N/A,January 8 1960,173-3615
,,,,Teleplay by?: Rod Serling,,,
15,15,I Shot an Arrow into the Air,Stuart Rosenberg,Based on a story by?: Madelon Champion,N/A,January 15 1960,173-3626
,,,,Teleplay by?: Rod Serling,,,
16,16,The Hitch-Hiker,Alvin Ganzer,Based on the radio play by?: Lucille Fletcher,N/A,January 22 1960,173-3612
,,,,Teleplay by?: Rod Serling,,,
17,17,The Fever,Robert Florey,Rod Serling,N/A,January 29 1960,173-3627
18,18,The Last Flight,William F. Claxton,Richard Matheson,N/A,February 5 1960,173-3607
19,19,The Purple Testament,Richard L. Bare,Rod Serling,Lucien Moraweck,February 12 1960,173-3619
20,20,Elegy,Douglas Heyes,Charles Beaumont,Van Cleave,February 19 1960,173-3625
21,21,Mirror Image,John Brahm,Rod Serling,N/A,February 26 1960,173-3623
22,22,The Monsters Are Due on Maple Street,Ronald Winston,Rod Serling,Rene Garriguenc,March 4 1960,173-3620
23,23,A World of Difference,Ted Post,Richard Matheson,Van Cleave,March 11 1960,173-3624
24,24,Long Live Walter Jameson,Anton Leader,Charles Beaumont,N/A,March 18 1960,173-3621
25,25,People Are Alike All Over,Mitchell Leisen,Based on a short story by?: Paul W. Fairman,N/A,March 25 1960,173-3613
,,,,Teleplay by?: Rod Serling,,,
26,26,Execution,David Orrick McDearmon,Based on a short story by?: George Clayton Johnson,N/A,April 1 1960,173-3628
,,,,Teleplay by?: Rod Serling,,,
27,27,The Big Tall Wish,Ronald Winston,Rod Serling,Jerry Goldsmith,April 8 1960,173-3630
28,28,A Nice Place to Visit,John Brahm,Charles Beaumont,N/A,April 15 1960,173-3632
29,29,Nightmare as a Child,Alvin Ganzer,Rod Serling,Jerry Goldsmith,April 29 1960,173-3635
30,30,A Stop at Willoughby,Robert Parrish,Rod Serling,Nathan Scott,May 6 1960,173-3629
31,31,The Chaser,Douglas Heyes,Based on a short story by?: John Collier,N/A,May 13 1960,173-3636
,,,,"Teleplay by?: Robert Presnell, Jr.",,,
32,32,A Passage for Trumpet,Don Medford,Rod Serling,Lyn Murray,May 20 1960,173-3633
33,33,Mr. Bevis,William Asher,Rod Serling,N/A,June 3 1960,173-3631
34,34,The After Hours,Douglas Heyes,Rod Serling,N/A,June 10 1960,173-3637
35,35,The Mighty Casey,Alvin Ganzer,Rod Serling,N/A,June 17 1960,173-3617
,,,Robert Parrish,,,,
36,36,A World of His Own,Ralph Nelson,Richard Matheson,N/A,July 1 1960,173-3634
