Season,EpisodeNo,SeasonEpisodeNo,Air Date,Titles
1,1,1,10/2/1959,Where is Everybody?
1,2,2,10/9/1959,One for the Angels
1,3,3,10/16/1959,Mr. Denton on Doomsday
1,4,4,10/23/1959,The Sixteen-Millimeter Shrine
1,5,5,10/30/1959,Walking Distance
1,6,6,11/6/1959,Escape Clause
1,7,7,11/13/1959,The Lonely
1,8,8,11/20/1959,Time Enough at Last
1,9,9,11/27/1959,Perchance to Dream
1,10,10,12/4/1959,Judgment Night
1,11,11,12/11/1959,And When the Sky Was Opened
1,12,12,12/25/1959,What You Need
1,13,13,1/1/1960,The Four of Us Are Dying
1,14,14,1/8/1960,Third From the Sun
1,15,15,1/15/1960,I Shot an Arrow Into the Air
1,16,16,1/22/1960,The Hitch-Hiker
1,17,17,1/29/1960,The Fever
1,18,18,2/5/1960,The Last Flight
1,19,19,2/12/1960,The Purple Testament
1,20,20,2/19/1960,Elegy
1,21,21,2/26/1960,Mirror Image
1,22,22,3/4/1960,The Monsters Are Due on Maple Street
1,23,23,3/11/1960,A World of Difference
1,24,24,3/18/1960,Long Live Walter Jameson
1,25,25,3/25/1960,People Are Alike All Over
1,26,26,4/1/1960,Execution
1,27,27,4/8/1960,The Big Tall Wish
1,28,28,4/15/1960,A Nice Place to Visit
1,29,29,4/29/1960,Nightmare as a Child
1,30,30,5/6/1960,A Stop at Willoughby
1,31,31,5/13/1960,The Chaser
1,32,32,5/20/1960,A Passage for Trumpet
1,33,33,6/3/1960,Mr. Bevis
1,34,34,6/10/1960,The After Hours
1,35,35,6/17/1960,The Mighty Casey
1,36,36,7/1/1960,A World of His Own
2,37,1,9/30/1960,King Nine Will Not Return
2,38,2,10/7/1960,The Man in the Bottle
2,39,3,10/14/1960,Nervous Man in a Four Dollar Room
2,40,4,10/28/1960,A Thing About Machines
2,41,5,11/4/1960,The Howling Man
2,42,6,11/11/1960,The Eye of the Beholder
2,43,7,11/18/1960,Nick of Time
2,44,8,12/2/1960,The Lateness of the Hour
2,45,9,12/9/1960,The Trouble with Templeton
2,46,10,12/16/1960,A Most Unusual Camera
2,47,11,12/23/1960,The Night of the Meek
2,48,12,1/6/1961,Dust
2,49,13,1/13/1961,Back There
2,50,14,1/20/1961,The Whole Truth
2,51,15,1/27/1961,The Invaders
2,52,16,2/3/1961,A Penny for Your Thoughts
2,53,17,2/10/1961,Twenty-Two
2,54,18,2/24/1961,The Odyssey of Flight 33
2,55,19,3/3/1961,"Mr. Dingle, the Strong"
2,56,20,3/10/1961,Static
2,57,21,3/24/1961,The Prime Mover
2,58,22,3/31/1961,Long Distance Call
2,59,23,4/7/1961,A Hundred Yards Over the Rim
2,60,24,4/21/1961,The Rip Van Winkle Caper
2,61,25,4/28/1961,The Silence
2,62,26,5/5/1961,Shadow Play
2,63,27,5/12/1961,The Mind and the Matter
2,64,28,5/26/1961,Will the Real Martian Please Stand Up
2,65,29,6/2/1961,The Obsolete Man
3,66,1,9/15/1961,Two
3,67,2,9/22/1961,The Arrival
3,68,3,9/29/1961,The Shelter
3,69,4,10/6/1961,The Passersby
3,70,5,10/13/1961,A Game of Pool
3,71,6,10/20/1961,The Mirror
3,72,7,10/27/1961,The Grave
3,73,8,11/3/1961,It's a Good Life
3,74,9,11/10/1961,Deaths-Head Revisited
3,75,10,11/17/1961,The Midnight Sun
3,76,11,11/24/1961,Still Valley
3,77,12,12/1/1961,The Jungle
3,78,13,12/15/1961,Once Upon a Time
3,79,14,12/22/1961,Five Characters in Search of an Exit
3,80,15,12/29/1961,A Quality of Mercy
3,81,16,1/5/1962,Nothing in the Dark
3,82,17,1/12/1962,One More Pallbearer
3,83,18,1/19/1962,Dead Man's Shoes
3,84,19,1/26/1962,The Hunt
3,85,20,2/2/1962,Showdown with Rance McGrew
3,86,21,2/9/1962,Kick the Can
3,87,22,2/16/1962,A Piano in the House
3,88,23,2/23/1962,The Last Rites of Jeff Myrtlebank
3,89,24,3/2/1962,To Serve Man
3,90,25,3/9/1962,The Fugitive
3,91,26,3/16/1962,Little Girl Lost
3,92,27,3/23/1962,Person or Persons Unknown
3,93,28,3/30/1962,The Little People
3,94,29,4/6/1962,Four O'Clock
3,95,30,4/13/1962,Hocus-Pocus and Frisby
3,96,31,4/20/1962,The Trade-Ins
3,97,32,4/27/1962,The Gift
3,98,33,5/4/1962,The Dummy
3,99,34,5/11/1962,Young Man's Fancy
3,100,35,5/18/1962,I Sing the Body Electric
3,101,36,5/25/1962,Cavender is Coming
3,102,37,6/1/1962,The Changing of the Guard
4,103,1,1/3/1963,In His Image
4,104,2,1/10/1963,The Thirty-Fathom Grave (60 min)
4,105,3,1/17/1963,Valley of the Shadow (60 min)
4,106,4,1/24/1963,He's Alive
4,107,5,1/31/1963,Mute (60 min)
4,108,6,2/7/1963,Death Ship
4,109,7,2/14/1963,Jess-Belle
4,110,8,2/21/1963,Miniature (60 min)
4,111,9,2/28/1963,Printer's Devil (60 min)
4,112,10,3/7/1963,No Time Like the Past
4,113,11,3/14/1963,The Parallel
4,114,12,3/21/1963,I Dream of Genie
4,115,13,4/4/1963,The New Exhibit (60 min)
4,116,14,4/11/1963,Of Late I Think of Cliffordville (60 min)
4,117,15,4/18/1963,The Incredible World of Horace Ford
4,118,16,5/2/1963,On Thursday We Leave for Home
4,119,17,5/9/1963,Passage on the Lady Anne
4,120,18,5/23/1963,The Bard
5,121,1,9/27/1963,In Praise of Pip
5,122,2,10/4/1963,Steel
5,123,3,10/11/1963,"Nightmare at 20,000 Feet"
5,124,4,10/18/1963,A Kind of a Stopwatch
5,125,5,10/25/1963,The Last Night of a Jockey
5,126,6,11/1/1963,Living Doll
5,127,7,11/8/1963,The Old Man in the Cave
5,128,8,11/15/1963,Uncle Simon
5,129,9,11/29/1963,Probe 7 - Over and Out
5,130,10,12/6/1963,The 7th is Made Up of Phantoms
5,131,11,12/13/1963,A Short Drink from a Certain Fountain
5,132,12,12/20/1963,Ninety Years Without Slumbering
5,133,13,12/27/1963,Ring-a-Ding Girl
5,134,14,1/3/1964,You Drive
5,135,15,1/10/1964,The Long Morrow
5,136,16,1/17/1964,The Self-Improvement of Salvadore Ross
5,137,17,1/24/1964,Number Twelve Looks Just Like You
5,138,18,1/31/1964,Black Leather Jackets
5,139,19,2/7/1964,Night Call
5,140,20,2/14/1964,From Agnes - With Love
5,141,21,2/21/1964,Spur of the Moment
5,142,22,2/28/1964,An Occurrence at Owl Creek Bridge
5,143,23,3/6/1964,Queen of the Nile
5,144,24,3/13/1964,What's in the Box
5,145,25,3/20/1964,The Masks
5,146,26,3/27/1964,I Am the Night - Color Me Black
5,147,27,4/3/1964,Sounds and Silences
5,148,28,4/10/1964,Caesar and Me
5,149,29,4/17/1964,The Jeopardy Room
